time,avg_power_kw
192.000,3.646614
193.000,3.646614
194.000,3.646614
195.000,3.646614
196.000,3.646614
197.000,3.646614
198.000,3.646614
199.000,3.646614
200.000,3.646614
201.000,3.646614
202.000,3.646614
203.000,3.646614
204.000,3.646614
205.000,3.646614
206.000,3.646614
207.000,3.646614
208.000,3.646614
209.000,3.646614
210.000,3.646614
211.000,3.646614
212.000,3.646614
213.000,3.646614
214.000,3.646614
215.000,3.646614
216.000,3.646614
217.000,3.646614
218.000,3.646614
219.000,3.646614
220.000,3.646614
221.000,3.646614
222.000,3.646614
223.000,3.646614
224.000,3.646614
225.000,3.646614
226.000,3.646614
227.000,3.646614
228.000,3.646614
229.000,3.646614
230.000,3.646614
231.000,3.646614
232.000,3.646614
233.000,3.646614
234.000,3.646614
235.000,3.646614
236.000,3.646614
237.000,3.646614
238.000,3.646614
239.000,3.646614
240.000,3.646614
241.000,3.646614
242.000,3.646614
243.000,3.646614
244.000,3.646614
245.000,3.646614
246.000,3.646614
247.000,3.646614
248.000,3.646614
249.000,3.646614
250.000,3.646614
251.000,3.646614
252.000,3.646614
253.000,3.646614
254.000,3.646614
255.000,3.646614
256.000,3.646614
257.000,3.646614
258.000,3.646614
259.000,3.646614
260.000,3.646614
261.000,3.646614
262.000,3.646614
263.000,3.646614
264.000,3.646614
265.000,3.646614
266.000,3.646614
267.000,3.646614
268.000,3.646614
269.000,3.646614
270.000,3.646614
271.000,3.646614
272.000,3.646614
273.000,3.646614
274.000,3.646614
275.000,3.646614
276.000,3.646614
277.000,3.646614
278.000,3.646614
279.000,3.646614
280.000,3.646614
281.000,3.646614
282.000,3.646614
283.000,3.646614
284.000,3.646614
285.000,3.646614
286.000,3.646614
287.000,3.646614
288.000,3.646614
289.000,3.646614
290.000,3.646614
291.000,3.646614
292.000,3.646614
293.000,3.646614
294.000,3.646614
295.000,3.646614
296.000,3.646614
297.000,3.646614
298.000,3.646614
299.000,3.646614
300.000,9773.461522
301.000,9773.461522
302.000,9773.461522
303.000,9773.461522
304.000,9773.461522
305.000,9773.461522
306.000,9773.461522
307.000,9773.461522
308.571,4502.694807
309.571,4502.694807
310.571,4502.694807
311.571,4502.694807
312.571,4502.694807
313.571,4502.694807
314.571,4502.694807
315.571,4502.694807
316.571,4502.694807
317.571,4502.694807
318.571,4502.694807
319.571,4502.694807
320.571,4502.694807
321.571,4502.694807
322.571,4502.694807
323.571,4502.694807
324.571,4502.694807
325.571,4502.694807
326.571,4502.694807
327.571,4502.694807
328.571,9551.679447
329.571,9551.679447
330.571,9551.679447
331.571,9551.679447
332.571,9551.679447
333.571,9551.679447
334.571,9551.679447
335.571,9551.679447
336.571,9551.679447
337.571,9551.679447
338.571,9551.679447
339.571,9551.679447
340.571,9551.679447
341.571,9551.679447
342.571,9551.679447
343.571,9551.679447
344.571,9551.679447
345.571,9551.679447
346.571,9551.679447
347.571,9551.679447
348.571,9551.679447
349.571,9551.679447
350.571,9551.679447
351.571,9551.679447
352.571,9551.679447
353.571,9551.679447
354.571,9551.679447
355.571,9551.679447
356.571,9551.679447
357.571,9551.679447
358.571,9551.679447
359.571,9551.679447
360.571,9551.679447
361.571,9551.679447
362.571,3445.330121
363.571,3445.330121
364.571,3445.330121
365.571,3445.330121
366.571,3445.330121
367.571,3445.330121
368.571,3445.330121
369.571,3445.330121
370.571,3445.330121
371.571,3445.330121
372.571,3445.330121
373.571,3445.330121
374.571,3445.330121
375.571,3445.330121
376.571,3445.330121
377.571,3445.330121
378.571,3445.330121
379.571,3445.330121
380.571,3445.330121
381.571,3445.330121
382.571,3445.330121
383.571,3445.330121
384.571,3445.330121
385.571,3445.330121
386.571,3445.330121
387.571,3445.330121
388.571,3445.330121
389.571,3445.330121
390.571,3445.330121
391.571,3445.330121
392.571,3445.330121
393.571,3445.330121
394.571,3445.330121
395.571,3445.330121
396.571,3445.330121
397.571,3445.330121
398.571,3445.330121
399.571,3445.330121
400.571,3445.330121
401.571,3445.330121
402.571,3445.330121
403.571,3445.330121
404.571,3445.330121
405.571,3445.330121
406.571,3445.330121
407.571,3445.330121
408.571,3445.330121
409.571,3445.330121
410.571,3445.330121
411.571,3445.330121
412.571,3445.330121
413.571,3445.330121
414.571,3445.330121
415.571,3445.330121
416.571,3445.330121
417.571,3445.330121
418.571,3445.330121
419.571,3445.330121
420.571,3445.330121
421.571,3445.330121
422.571,3445.330121
423.571,3445.330121
424.571,3445.330121
425.571,3445.330121
426.571,3445.330121
427.571,3445.330121
428.571,3445.330121
429.571,3445.330121
430.571,3445.330121
431.571,3445.330121
432.571,3445.330121
433.571,3445.330121
434.571,3445.330121
435.571,3445.330121
436.571,3445.330121
437.571,3445.330121
438.571,3445.330121
439.571,3445.330121
440.571,3445.330121
441.571,3445.330121
442.571,3445.330121
443.571,3445.330121
444.571,3445.330121
445.571,3445.330121
446.571,3445.330121
447.571,3445.330121
448.571,3445.330121
449.571,3445.330121
450.571,3445.330121
451.571,3445.330121
452.571,3445.330121
453.571,3445.330121
454.571,3445.330121
455.571,3445.330121
456.571,3445.330121
457.571,3445.330121
458.571,3445.330121
459.571,3445.330121
460.571,3445.330121
461.571,3445.330121
462.571,3445.330121
463.571,3445.330121
464.571,3445.330121
465.571,3445.330121
466.571,3445.330121
467.571,3445.330121
468.571,3445.330121
469.571,3445.330121
470.571,3445.330121
471.571,3445.330121
472.571,3445.330121
473.571,3445.330121
474.571,3445.330121
475.571,3445.330121
476.571,3445.330121
477.571,3445.330121
478.571,3445.330121
479.571,3445.330121
480.571,3445.330121
481.571,3445.330121
482.571,3445.330121
483.571,3445.330121
484.571,3445.330121
485.571,3445.330121
486.571,3445.330121
487.571,3445.330121
488.571,3445.330121
489.571,3445.330121
490.571,3445.330121
491.571,3445.330121
492.571,3445.330121
493.571,3445.330121
494.571,3445.330121
495.571,3445.330121
496.571,3445.330121
497.571,3445.330121
498.571,3445.330121
499.571,3445.330121
500.571,3445.330121
501.571,3445.330121
502.571,3445.330121
503.571,3445.330121
504.571,3445.330121
505.571,3445.330121
506.571,3445.330121
507.571,3445.330121
508.571,3445.330121
509.571,3445.330121
510.571,3445.330121
511.571,3445.330121
512.571,3445.330121
513.571,3445.330121
514.571,3445.330121
